d	d	0.222222
from	the	1.000000
in	the	0.428571
p	স	0.179487
p	ত	0.145299
p	ক	0.076923
p	এই	0.059829
p	এর	0.059829
p	অন	0.042735
p	শ	0.042735
p	ম	0.042735
p	দ	0.034188
p	এ	0.034188
অত	র	0.328084
অত	ক	0.279528
অত	ত	0.140420
অত	পর	0.112861
অত	স	0.036745
অত	ম	0.024934
অত	দ	0.023622
অত	ন	0.013123
অত	অল	0.010499
অত	শ	0.006562
অত	ঘর	0.003937
অপহরণ	কর	0.685714
অপহরণ	র	0.142857
অফ	স	0.603155
অফ	দ	0.094660
অফ	ম	0.035194
অফ	র	0.031553
অফ	ইন	0.024272
অফ	ন	0.024272
অফ	ক	0.024272
অফ	শ	0.023058
অফ	ড	0.019417
অফ	আর	0.012136
অফ	হ	0.012136
অফ	কম	0.012136
অফ	আম	0.010922
অফ	এ	0.007282
অফ	অ	0.006068
অফ	অন	0.004854
অফ	রন	0.004854
অফ	কমন	0.003641
অফ	মন	0.003641
অফ	এড	0.003641
অফ	হল	0.003641
অব	দ	0.223265
অব	স	0.200750
অব	ক	0.103189
অব	ম	0.076923
অব	ন	0.050657
অব	শ	0.050657
অব	র	0.048780
অব	ড	0.033771
অব	আর	0.033771
অব	ইন	0.026266
অব	হ	0.016886
অব	ই	0.011257
অব	ত	0.009381
অব	চল	0.009381
অব	অন	0.007505
অব	কল	0.007505
অব	কমন	0.007505
অব	এ	0.005629
অব	কম	0.005629
অব	ইস	0.005629
অবগত	কর	0.600000
অবতরণ	কর	0.431818
অবতরণ	র	0.318182
অবতরণ	স	0.090909
অমর	ন	0.472222
অমর	র	0.111111
অমর	এক	0.083333
অমর	ত	0.083333
অমর	স	0.083333
অহ	স	0.444444
অহ	ক	0.250000
অহ	র	0.111111
আ	শ	0.374582
আ	ক	0.317726
আ	র	0.036789
আ	স	0.033445
আ	কত	0.026756
আ	ম	0.026756
আ	ড	0.020067
আ	চল	0.020067
আ	ত	0.020067
আ	এর	0.016722
আ	হ	0.013378
আ	দ	0.010033
আ	কর	0.010033
আ	কল	0.010033
আ	ন	0.010033
আ	ইশ	0.010033
আটক	কর	0.287500
আটক	র	0.225000
আটক	ন	0.125000
আটক	ত	0.125000
আটক	দ	0.050000
আটক	করত	0.037500
আনব	র	0.600000
আপন	র	0.433566
আপন	ক	0.195804
আপন	দ	0.048951
আপন	ন	0.041958
আপন	ত	0.041958
আপন	আপন	0.034965
আপন	স	0.020979
আপন	এ	0.020979
আপন	ম	0.020979
আল	দ	0.269630
আল	ক	0.163704
আল	র	0.134074
আল	ম	0.102963
আল	হ	0.058519
আল	স	0.047407
আল	ত	0.025185
আল	ন	0.023704
আল	শ	0.020000
আল	ড	0.014815
আল	ও	0.011111
আল	বর	0.008889
আল	গড	0.008148
আল	আল	0.007407
আল	কবর	0.006667
আল	কব	0.005926
আল	আস	0.005926
আল	কস	0.005185
আল	আম	0.004444
আল	কদম	0.004444
আল	ই	0.003704
আল	কম	0.003704
আল	সহ	0.003704
আল	আজ	0.002963
আল	মত	0.002963
আল	আরব	0.002963
আল	মদ	0.002963
আল	আন	0.002222
আল	জন	0.002222
আল	মন	0.002222
আল	ইস	0.002222
আল	আর	0.002222
আল	বল	0.002222
আল	মর	0.002222
আল	কসম	0.002222
আসব	ন	0.375000
ই	র	0.133865
ই	ত	0.122784
ই	স	0.114953
ই	ম	0.082890
ই	ক	0.052600
ই	দ	0.050680
ই	ন	0.041962
ই	কর	0.034427
ই	শ	0.028221
ই	হ	0.026596
ই	এই	0.025266
ই	বছর	0.021720
ই	পর	0.018765
ই	এর	0.018765
ই	অন	0.013150
ই	ড	0.012855
ই	এ	0.008865
ই	ও	0.007240
ই	বল	0.007240
ই	এক	0.006944
ই	অ	0.006501
ই	জন	0.005910
ই	সর	0.005467
ই	সব	0.005319
ই	বর	0.005024
ই	আম	0.004876
ই	মন	0.004876
ই	চল	0.004433
ই	দল	0.004285
ই	হল	0.004137
ই	আল	0.004137
ই	করত	0.003989
ই	কম	0.003842
ই	শহর	0.003694
ই	ধর	0.003546
ই	আন	0.003398
ই	ই	0.003398
ই	একজন	0.003103
ই	ইন	0.003103
ই	কন	0.003103
ইশ	র	0.327869
ইশ	ক	0.147541
ইশ	ন	0.147541
ইশ	বছর	0.081967
ইশ	বর	0.081967
ইশ	ত	0.049180
উঠ	ন	0.363636
উঠ	আস	0.176471
উঠ	এস	0.106952
উঠ	র	0.090909
উঠ	ত	0.042781
উঠ	দ	0.037433
উঠ	ক	0.032086
উঠ	স	0.021390
উঠ	শ	0.021390
উঠ	ম	0.016043
উৎসব	র	0.375839
উৎসব	ন	0.060403
উৎসব	অন	0.053691
উৎসব	ত	0.046980
উৎসব	শ	0.046980
উৎসব	ও	0.046980
উৎসব	দ	0.040268
উৎসব	ক	0.033557
উৎসব	হ	0.033557
উৎসব	চল	0.033557
উৎসব	এ	0.026846
উৎসব	আন	0.020134
উৎসব	স	0.020134
একক	স	0.164706
একক	র	0.129412
একক	দ	0.070588
একক	ম	0.070588
একক	ক	0.064706
একক	শ	0.058824
একক	ও	0.052941
একক	অ	0.052941
একক	ন	0.052941
একক	হ	0.035294
একক	পর	0.023529
একজন	স	0.161255
একজন	ম	0.138528
একজন	ন	0.085498
একজন	র	0.072511
একজন	শ	0.072511
একজন	ক	0.071429
একজন	হ	0.036797
একজন	ড	0.029221
একজন	অন	0.025974
একজন	কর	0.025974
একজন	ই	0.023810
একজন	দ	0.023810
একজন	পর	0.021645
একজন	ত	0.016234
একজন	আম	0.014069
একজন	ধর	0.011905
একজন	অ	0.009740
একজন	অত	0.009740
একজন	সফল	0.008658
একজন	কম	0.007576
একজন	কব	0.006494
একজন	তর	0.005411
একজন	সর	0.005411
একজন	ইন	0.005411
একজন	হল	0.005411
একজন	মন	0.005411
একজন	আন	0.005411
একজন	বন	0.005411
একজন	সৎ	0.004329
একজন	একজন	0.004329
একজন	অফ	0.004329
একজন	রস	0.004329
একজন	আদর	0.003247
একজন	আরব	0.003247
একজন	আর	0.003247
একজন	বছর	0.003247
একজন	সহ	0.003247
একজন	শক	0.003247
একজন	রক	0.003247
এড	ন	0.250000
এড	ত	0.228571
এড	ক	0.185714
এড	র	0.085714
এড	স	0.050000
এড	ম	0.050000
এড	ও	0.021429
এড	শন	0.021429
ওজন	র	0.375000
ওজন	হ	0.113636
ওজন	কম	0.090909
ওজন	ক	0.045455
ওজন	দ	0.034091
ওজন	স	0.034091
ওজন	ও	0.034091
ওমর	র	0.333333
ওমর	হ	0.250000
ওহ	র	0.333333
ওহ	দ	0.222222
ওহ	ম	0.166667
কখনও	কখনও	0.536313
কখনও	ত	0.055866
কখনও	ম	0.050279
কখনও	ক	0.044693
কখনও	স	0.044693
কখনও	শ	0.027933
কখনও	ন	0.027933
কখনও	দ	0.027933
কখনও	হ	0.022346
কখনও	এক	0.016760
কখনও	র	0.016760
কখনও	এই	0.016760
কব	ত	0.418256
কব	র	0.238420
কব	ন	0.084469
কব	হ	0.047684
কব	দ	0.043597
কব	ও	0.034060
কব	ক	0.028610
কব	স	0.021798
কব	তর	0.016349
কব	শ	0.010899
কব	ম	0.008174
কব	রক	0.004087
কব	আল	0.004087
করত	ন	0.455394
করত	হব	0.080466
করত	শ	0.070554
করত	দ	0.061808
করত	স	0.036735
করত	ত	0.032653
করত	বল	0.025073
করত	ও	0.021574
করত	ক	0.020991
করত	সহ	0.020408
করত	র	0.012828
করত	ম	0.011662
করত	অন	0.011662
করত	হত	0.010496
করত	আস	0.010496
করত	হল	0.008163
করত	করত	0.008163
করত	পর	0.006997
করত	ই	0.006997
করত	আগ	0.006997
করত	উৎস	0.006414
করত	এই	0.005248
করত	চল	0.004082
করত	এস	0.004082
করত	আর	0.003499
করত	এর	0.003499
করত	সফল	0.003499
করত	বলল	0.002915
করত	কর	0.002915
করত	অ	0.002332
করত	ড	0.002332
করত	বছর	0.001749
করত	আল	0.001749
করত	একজন	0.001749
করত	আন	0.001749
করব	ন	0.649573
করব	র	0.098291
করব	ত	0.051282
করব	ক	0.047009
করব	বল	0.038462
করব	স	0.034188
কসম	হ	0.476190
খবর	র	0.265306
খবর	শ	0.122449
খবর	দ	0.122449
খবর	ত	0.102041
খবর	স	0.081633
খবর	ন	0.061224
গরম	কর	0.218750
গরম	ও	0.125000
গরম	ত	0.093750
গরম	র	0.093750
চরম	দ	0.200000
চরম	ম	0.171429
চরম	ক	0.114286
চরম	স	0.114286
জগত	র	0.614035
জগত	ত	0.114035
জগত	পদ	0.035088
জগত	ও	0.026316
জগত	ক	0.026316
জন	কর	0.233234
জন	ম	0.216893
জন	ত	0.206282
জন	র	0.098684
জন	স	0.034805
জন	ন	0.025891
জন	ক	0.020798
জন	শ	0.016553
জন	ও	0.012733
জন	ই	0.011248
জন	করত	0.011036
জন	দ	0.010611
জন	মদ	0.009126
জন	হ	0.007852
জন	এর	0.005518
জন	আহত	0.004881
জন	ড	0.004669
জন	মন	0.004669
জন	অন	0.003820
জন	পর	0.003396
জন	হত	0.002971
জন	জন	0.002759
জন	করব	0.002759
জন	অ	0.002334
জন	এই	0.002334
জন	আর	0.002122
জন	হল	0.002122
জন	বন	0.001910
জন	করল	0.001698
জন	মত	0.001698
জন	হব	0.001698
জন	সহ	0.001486
জন	করছ	0.001486
জন	এ	0.001273
জন	আম	0.001273
জন	কম	0.001273
জন	আস	0.001061
জন	এত	0.001061
জন	নত	0.000849
জন	পদ	0.000849
টপ	র	0.876221
টপ	ত	0.029316
টপ	স	0.022801
টপ	অব	0.009772
টপ	ক	0.009772
ডক	ম	0.251497
ডক	স	0.197605
ডক	র	0.137725
ডক	ত	0.083832
ডক	ন	0.047904
ডক	ক	0.041916
ডক	দ	0.035928
ডক	রস	0.029940
ডক	অন	0.023952
ডক	পর	0.023952
তখনও	ত	0.409091
তখনও	ম	0.136364
তর	র	0.168394
তর	ত	0.148779
তর	ক	0.145818
তর	দ	0.068468
তর	গত	0.064767
তর	কর	0.052554
তর	স	0.049963
তর	ন	0.045892
তর	ম	0.024426
তর	ড	0.024056
তর	আম	0.021836
তর	ও	0.020355
তর	শ	0.014804
তর	হ	0.012583
তর	বর	0.011103
তর	পর	0.009623
তর	করত	0.007772
তর	অ	0.007032
তর	ই	0.005181
তর	অন	0.004441
তর	হল	0.004441
তর	জন	0.004441
তর	এই	0.004441
তর	আহত	0.004071
তর	এর	0.003701
তর	বল	0.003701
তর	হত	0.003331
তর	আল	0.002221
তর	আর	0.002221
তর	জল	0.002221
তর	সর	0.002221
তর	এক	0.002221
তর	কত	0.001850
তর	বন	0.001850
তর	করব	0.001480
তর	এস	0.001480
তর	ধর	0.001480
তর	তখন	0.001480
তর	বস	0.001480
তর	চল	0.001480
তলব	কর	0.636364
দমন	কর	0.478261
দমন	র	0.144928
দমন	ও	0.115942
দমন	করত	0.101449
দমন	ন	0.057971
দমন	স	0.043478
ন	র	0.198752
ন	ত	0.139175
ন	ম	0.085008
ন	ন	0.081772
ন	স	0.078407
ন	দ	0.063643
ন	ক	0.058204
ন	ড	0.041187
ন	কর	0.033995
ন	শ	0.019582
ন	ও	0.016717
ন	হ	0.015285
ন	ই	0.010487
ন	পর	0.009535
ন	তর	0.007953
ন	অন	0.006000
ন	এই	0.004678
ন	বল	0.004617
ন	এর	0.004507
ন	একজন	0.004477
ন	হত	0.003886
ন	বন	0.003656
ন	অ	0.003566
ন	উ	0.003225
ন	এক	0.003225
ন	হল	0.002815
ন	করত	0.002774
ন	ডল	0.002564
ন	নত	0.002554
ন	ধর	0.002474
ন	জন	0.002404
ন	আর	0.002264
ন	মন	0.002234
ন	এ	0.002184
ন	বছর	0.002174
ন	আম	0.002153
ন	আল	0.002143
ন	বর	0.002033
ন	আন	0.001973
ন	সর	0.001943
নত	ন	0.564856
নত	র	0.132648
নত	ত	0.055311
নত	স	0.044542
নত	কর	0.031816
নত	দ	0.028879
নত	ক	0.022026
নত	ও	0.016153
নত	ম	0.014684
নত	করত	0.006853
নত	আন	0.006363
নত	শ	0.006363
নত	পর	0.005384
নত	হব	0.004405
নত	হ	0.003916
নত	ই	0.003916
নত	অন	0.003426
নত	হত	0.002937
নত	নত	0.002937
নত	বর	0.001958
নত	হল	0.001958
নত	ড	0.001958
নত	হন	0.001958
নত	অ	0.001468
নত	আস	0.001468
নত	এই	0.001468
নত	আছ	0.001468
নত	আল	0.001468
নত	এর	0.001468
নত	বল	0.001468
নত	ওর	0.001468
নত	লক	0.001468
নন	দ	0.419552
নন	র	0.118126
নন	ত	0.091650
নন	স	0.054990
নন	ক	0.052953
নন	ও	0.030550
নন	কর	0.028513
নন	ম	0.028513
নন	ন	0.016293
নন	দল	0.014257
নন	এমন	0.012220
নন	এর	0.010183
নন	এই	0.010183
নন	বর	0.008147
নন	কম	0.008147
নন	পর	0.006110
নন	আর	0.006110
নন	শ	0.006110
নন	অ	0.006110
পরও	ত	0.333333
পরও	র	0.111111
বলত	ন	0.198630
বলত	ক	0.102740
বলত	র	0.095890
বলত	এমন	0.075342
বলত	স	0.075342
বলত	ম	0.054795
বলত	শ	0.047945
বলত	হব	0.034247
বলত	এক	0.027397
বলত	ই	0.027397
বলত	দ	0.027397
বলত	বল	0.020548
বলত	ত	0.020548
বলত	হ	0.020548
বশ	র	0.508929
বশ	স	0.241071
বশ	যত	0.044643
বশ	শ	0.035714
বশ	ক	0.026786
বশ	ন	0.026786
ম	র	0.205304
ম	ন	0.174361
ম	ত	0.120379
ম	ক	0.088494
ম	স	0.084005
ম	দ	0.043732
ম	বর	0.034732
ম	ম	0.030987
ম	হ	0.027899
ম	শ	0.021899
ম	ড	0.019643
ম	পর	0.018351
ম	ও	0.014081
ম	লক	0.011519
ম	মদ	0.008650
ম	ই	0.004752
ম	শন	0.004424
ম	কর	0.003438
ম	বদ	0.003329
ম	অন	0.003000
ম	জন	0.002781
ম	রক	0.002606
ম	ইন	0.002562
ম	নন	0.002540
ম	এক	0.002496
ম	বল	0.002475
ম	এর	0.002256
ম	হল	0.002124
ম	হন	0.002037
ম	কম	0.001993
ম	ধর	0.001971
ম	অ	0.001840
ম	এই	0.001818
ম	আর	0.001621
ম	একজন	0.001511
ম	আল	0.001489
ম	পল	0.001314
ম	নক	0.001204
ম	আস	0.001161
ম	হত	0.001117
যত	র	0.322785
যত	ত	0.143987
যত	ক	0.118671
যত	ন	0.113924
যত	ম	0.085443
যত	স	0.037975
যত	দ	0.034810
যত	ও	0.031646
যত	শ	0.015823
যত	পর	0.011076
যত	অন	0.009494
যত	গড	0.007911
যত	কম	0.007911
যত	হ	0.006329
যত	ড	0.004747
যত	হল	0.004747
র	স	0.122512
র	ক	0.107829
র	ম	0.088881
র	র	0.080596
র	ন	0.079740
র	দ	0.060436
র	ত	0.053220
র	জন	0.051099
র	কর	0.039006
র	পর	0.031706
র	শ	0.029330
র	হ	0.024614
র	ড	0.022511
র	অন	0.018746
র	মত	0.010020
র	ও	0.009884
র	উপর	0.009533
র	অ	0.005619
র	এই	0.004972
র	এক	0.004966
র	ফল	0.004823
র	ই	0.004294
র	সর	0.004170
র	আগ	0.004045
র	শন	0.003475
র	মন	0.003398
র	বর	0.003350
র	বন	0.003154
র	এর	0.003101
র	একজন	0.003095
র	বছর	0.003041
র	বল	0.002946
র	পদ	0.002827
র	আন	0.002697
র	করত	0.002643
র	আর	0.002269
