adam	price	0.500000
adfærd	i	0.111111
adfærd	der	0.066667
adfærd	fra	0.066667
adfærd	er	0.066667
adgang	til	0.919598
adgang	for	0.020101
adgang	forbudt	0.020101
afdeling	i	0.211538
afdeling	på	0.125000
afdeling	og	0.076923
afdeling	for	0.076923
afdeling	af	0.067308
afdeling	som	0.048077
afdeling	der	0.048077
afdeling	hvor	0.038462
afdeling	ved	0.038462
afdeling	hvis	0.028846
afdelingen	for	0.219512
afdelingen	har	0.097561
affald	og	0.125000
affald	på	0.100000
affald	til	0.100000
affald	fra	0.075000
afgørelse	om	0.130435
afgørelse	fra	0.086957
afgørelse	der	0.086957
afgørelse	i	0.072464
afgørelse	og	0.057971
afgørelse	er	0.043478
afhængig	af	0.973684
afleveret	en	0.208333
afleveret	et	0.166667
aflyst	på	0.181818
aflyst	og	0.121212
aflyst	af	0.075758
aflyst	i	0.060606
aflyst	eller	0.060606
aflyst	mellem	0.045455
aflyst	en	0.045455
afsked	med	0.789474
afsluttet	i	0.192308
afsluttet	med	0.076923
afsluttet	og	0.057692
afsluttet	men	0.057692
afslører	at	0.272727
aftale	om	0.288000
aftale	med	0.224000
aftale	der	0.096000
aftale	i	0.036000
aftale	mellem	0.036000
aftale	som	0.032000
aftale	på	0.028000
aftale	at	0.016000
aftale	for	0.016000
aftale	siger	0.012000
aftalen	er	0.145000
aftalen	om	0.085000
aftalen	med	0.065000
aftalen	har	0.040000
aftalen	blev	0.035000
aftalen	vil	0.035000
aftalen	og	0.030000
aftalen	indebærer	0.030000
aftalen	var	0.030000
aftalen	der	0.025000
aftalen	i	0.025000
aftalen	betyder	0.020000
aftalen	som	0.020000
aftalen	at	0.020000
aftalen	men	0.020000
aftalen	bliver	0.015000
aftalen	skal	0.015000
aftalen	mellem	0.015000
aftaler	med	0.153846
aftaler	der	0.138462
aftaler	som	0.092308
aftaler	om	0.092308
aftaler	og	0.092308
aftaler	kan	0.046154
aftaler	er	0.046154
aften	og	0.079365
aften	i	0.063492
aften	klokken	0.039683
aften	var	0.036508
aften	er	0.033333
aften	blev	0.025397
aften	hvor	0.023810
aften	med	0.022222
aften	dansk	0.022222
aften	på	0.017460
aften	at	0.017460
aften	da	0.017460
aften	til	0.017460
aften	har	0.015873
aften	en	0.012698
aften	kan	0.012698
aften	havde	0.011111
aften	gik	0.011111
aften	skal	0.011111
aften	men	0.009524
aften	efter	0.009524
aften	der	0.009524
aften	omkring	0.009524
aften	spiller	0.009524
aften	vil	0.009524
aften	den	0.007937
aften	spillede	0.007937
aften	mod	0.007937
aften	kl	0.007937
aften	fik	0.007937
aften	tog	0.007937
aften	ramt	0.006349
aften	når	0.006349
aften	over	0.006349
aften	blevet	0.006349
aften	løb	0.006349
aften	modtog	0.006349
aften	møder	0.006349
aften	tabte	0.006349
aften	vandt	0.006349
afvise	at	0.500000
aktivitet	i	0.205128
aktivitet	på	0.128205
aktivitet	og	0.076923
aktiviteter	i	0.240000
aktiviteter	på	0.106667
aktiviteter	og	0.093333
aktiviteter	som	0.080000
aktiviteter	for	0.040000
alle	de	0.101327
alle	andre	0.049457
alle	der	0.039807
alle	sammen	0.031966
alle	er	0.028951
alle	i	0.025332
alle	tre	0.022316
alle	har	0.022316
alle	kan	0.016285
alle	dem	0.013269
alle	sine	0.013269
alle	mulige	0.013269
alle	steder	0.012063
alle	børn	0.011460
alle	fire	0.010253
alle	og	0.009650
alle	landets	0.009047
alle	omstændigheder	0.009047
alle	til	0.008444
alle	var	0.008444
alle	deres	0.008444
alle	på	0.007841
alle	som	0.007238
alle	at	0.006634
alle	med	0.006031
alle	vores	0.006031
alle	danske	0.005428
alle	borgere	0.005428
alle	os	0.004825
alle	disse	0.004825
alle	pengene	0.004825
alle	ved	0.004825
alle	spillere	0.004222
alle	fem	0.004222
alle	former	0.004222
alle	lande	0.004222
alle	mennesker	0.004222
alle	over	0.004222
alle	skal	0.004222
alle	vil	0.004222
alles	øjne	0.230769
alles	interesse	0.230769
alligevel	er	0.141509
alligevel	ikke	0.075472
alligevel	at	0.037736
alligevel	har	0.028302
alligevel	var	0.025943
alligevel	kan	0.023585
alligevel	med	0.023585
alligevel	mener	0.018868
alligevel	blev	0.016509
alligevel	en	0.016509
alligevel	bliver	0.014151
alligevel	vil	0.014151
alligevel	på	0.014151
alligevel	kunne	0.011792
alligevel	godt	0.011792
alligevel	et	0.011792
alligevel	siger	0.011792
alligevel	får	0.009434
