w	c	0.750000
กรกฎาคม	ค	0.625000
กรกฎาคม	ถ	0.250000
กะ	น	1.000000
ธ	ร	0.166667
ธ	น	0.166667
ป	น	0.487342
ป	ค	0.120253
ป	ก	0.063291
ป	ถ	0.037975
ป	า	0.037975
ป	อ	0.037975
ป	ม	0.031646
ป	ส	0.031646
ป	ท	0.031646
ป	ชน	0.018987
พฤษภาคม	ค	0.647059
มกราคม	ค	0.785714
ย	อ	0.108108
ย	ม	0.074324
ย	ท	0.074324
ย	ป	0.067568
ย	ก	0.060811
ย	ส	0.054054
ย	ว	0.047297
ย	ด	0.047297
ย	ช	0.047297
ย	ย	0.040541
ย	เม	0.033784
ย	เครน	0.033784
ย	เช	0.027027
ย	ค	0.027027
ย	น	0.027027
ย	และ	0.027027
ย	ร	0.020270
วง	ค	0.444444
อ	น	0.103053
อ	ส	0.072519
อ	อ	0.068702
อ	ลบ	0.064885
อ	ก	0.053435
อ	ค	0.045802
อ	กด	0.041985
อ	เม	0.041985
อ	ม	0.038168
อ	ป	0.034351
อ	ผ	0.030534
อ	ช	0.030534
อ	ย	0.026718
อ	ว	0.022901
อ	เจ	0.019084
อ	บ	0.019084
อ	ตาม	0.019084
อ	พาย	0.019084
อ	เอ	0.015267
อ	ร	0.015267
อ	เร	0.011450
อ	บน	0.011450
อ	ไป	0.011450
ฮ	น	0.272727
า	ว	0.129870
า	ช	0.077922
า	ม	0.071429
า	น	0.064935
า	อ	0.064935
า	ป	0.058442
า	เม	0.045455
า	ร	0.045455
า	ส	0.045455
า	เจ	0.045455
า	ค	0.038961
า	ก	0.038961
า	ท	0.025974
า	คน	0.025974
า	เช	0.019481
า	เมตร	0.019481
า	เอ	0.019481
า	ผ	0.019481
เท	ย	0.600000
เธอ	เจ	1.000000
เมตร	ม	0.235294
เมตร	ท	0.176471
เมตร	ส	0.176471
เร	ย	0.692308
แก	อ	0.151515
แก	น	0.121212
แก	ว	0.121212
แก	ส	0.090909
แก	บ	0.090909
และ	อ	0.071429
และ	ม	0.071429
และ	ป	0.071429
และ	ก	0.071429
และ	เจ	0.071429
และ	น	0.053571
ใช	ก	0.181818
ใช	เร	0.136364
ใช	ช	0.068182
ใช	ค	0.068182
ใช	ว	0.068182
ใช	ร	0.068182
ใช	ท	0.068182
ใน	ค	0.473684
ใน	ชน	0.210526
