abús	de	poder	0.833333
acabarà	a	la	0.500000
acabarà	a	les	0.300000
acabarà	amb	un	0.375000
acabarà	amb	una	0.250000
acabarà	el	de	0.500000
acceptar	que	el	0.136364
acceptar	que	es	0.136364
accidents	de	trànsit	0.636364
acció	cultural	del	0.600000
acció	de	l	0.250000
acció	de	la	0.250000
acció	de	govern	0.166667
acció	del	govern	0.333333
acció	exterior	i	0.157895
acció	que	es	0.250000
aclarir	el	cas	0.571429
aclarir	els	fets	0.888889
aconseguit	el	primer	0.214286
aconseguit	l	objectiu	0.428571
aconseguit	que	la	0.210526
aconseguit	que	el	0.157895
aconseguit	tirar	endavant	1.000000
acord	al	qual	0.666667
acord	amb	el	0.248619
acord	amb	la	0.226519
acord	amb	els	0.154696
acord	amb	les	0.132597
acord	amb	l	0.116022
acord	amb	això	0.016575
acord	amb	una	0.016575
acord	d	associació	0.428571
acord	de	govern	0.213333
acord	de	claredat	0.173333
acord	de	la	0.160000
acord	de	pau	0.066667
acord	de	col	0.053333
acord	de	parís	0.053333
acord	del	consell	0.307692
acord	del	govern	0.230769
acord	en	una	0.130435
acord	en	el	0.130435
acord	en	la	0.130435
acord	entre	el	0.280000
acord	entre	els	0.240000
acord	entre	la	0.120000
acord	hi	ha	0.750000
acord	i	ha	0.166667
acord	ja	que	1.000000
acord	o	no	0.833333
acord	pel	qual	0.666667
acord	per	a	0.265306
acord	per	protegir	0.081633
acord	per	la	0.061224
acord	que	s	0.131579
acord	que	va	0.078947
acord	sobre	el	0.200000
acord	sobre	la	0.200000
acord	sobre	com	0.200000
acord	és	un	0.333333
acordar	amb	la	0.600000
acordar	en	la	1.000000
acordat	en	la	0.750000
acostar	a	la	0.500000
acostar	s	hi	1.000000
acostar	se	a	0.461538
acostar	se	al	0.307692
acosti	a	la	1.000000
acostuma	a	ser	0.357143
acostuma	a	passar	0.119048
acostuma	a	haver	0.071429
acostumat	a	veure	0.157895
activa	de	la	0.375000
activa	i	per	0.384615
activitat	a	la	0.428571
activitat	a	les	0.214286
activitat	de	la	0.409091
activitat	de	l	0.227273
activitat	física	i	0.333333
activitat	física	en	0.250000
activitat	humana	sigui	0.600000
activitat	il	legal	1.000000
activitat	política	per	0.750000
activitat	que	li	0.130435
activitat	que	s	0.130435
actuació	a	la	0.300000
actuació	de	la	0.413793
actuació	de	l	0.275862
actuació	de	les	0.172414
actuació	del	grup	0.187500
actuació	que	es	0.272727
actuació	que	ha	0.272727
actuació	serà	al	0.500000
acudit	a	la	0.428571
acusació	particular	en	0.190476
acusació	particular	demanava	0.142857
acusació	particular	i	0.142857
acusació	popular	en	0.500000
advocats	de	l	0.500000
advocats	i	periodistes	0.428571
agrada	dir	que	0.750000
agradi	o	no	0.800000
agressió	sexual	a	0.260870
agressió	sexual	i	0.260870
agressió	sexual	amb	0.130435
això	a	la	0.241379
això	a	vegades	0.137931
això	amb	la	0.266667
això	amb	una	0.200000
això	ara	ja	0.230769
això	assegura	que	0.666667
això	cal	tenir	0.222222
això	cal	que	0.148148
això	com	que	0.363636
això	considera	que	0.857143
això	crec	que	1.000000
això	davant	la	0.750000
això	de	la	0.166667
això	de	moment	0.100000
això	de	les	0.100000
això	demostra	que	0.750000
això	des	de	0.882353
això	després	d	0.333333
això	després	de	0.333333
això	diu	que	0.375000
això	el	que	0.127273
això	el	govern	0.109091
això	el	seu	0.036364
això	el	programa	0.027273
això	el	president	0.027273
això	els	fa	0.066667
això	els	ha	0.066667
això	els	investigadors	0.066667
això	em	va	0.478261
això	em	fa	0.130435
això	en	un	0.152174
això	en	el	0.130435
això	en	la	0.086957
això	en	els	0.086957
això	en	fa	0.065217
això	encara	hi	0.266667
això	ens	fa	0.170213
això	ens	ha	0.127660
això	ens	permet	0.063830
això	ens	dona	0.063830
això	es	va	0.205882
això	es	deu	0.117647
això	es	pot	0.117647
això	es	fa	0.058824
això	es	nota	0.058824
això	es	tracta	0.044118
això	explica	que	0.444444
això	fa	que	0.636364
això	fa	temps	0.045455
això	farà	que	1.000000
això	feia	que	0.800000
això	ha	fet	0.153153
això	ha	demanat	0.090090
això	ha	estat	0.063063
això	ha	de	0.054054
això	ha	dit	0.054054
això	ha	provocat	0.045045
això	ha	explicat	0.036036
això	ha	passat	0.036036
això	ha	canviat	0.036036
això	ha	acabat	0.027027
això	hi	ha	0.709677
això	hi	havia	0.096774
això	ho	ha	0.114286
això	ho	fan	0.085714
això	ho	he	0.085714
això	i	que	0.160000
això	i	per	0.120000
això	implica	que	0.277778
això	ja	ho	0.114286
això	ja	és	0.085714
això	ja	ha	0.085714
això	ja	va	0.085714
això	ja	no	0.085714
això	ja	hi	0.085714
això	ja	està	0.085714
això	l	agència	0.069767
això	l	empresa	0.069767
això	l	executiu	0.069767
això	la	gent	0.055556
això	les	seves	0.130435
això	li	ha	0.210526
això	li	va	0.157895
això	m	ha	0.272727
això	m	ho	0.272727
això	mateix	que	0.214286
això	no	és	0.218638
això	no	vol	0.103943
això	no	es	0.053763
això	no	obstant	0.046595
això	no	ha	0.039427
això	no	s	0.035842
això	no	passa	0.032258
això	no	té	0.032258
això	no	ho	0.028674
això	no	va	0.021505
això	no	hi	0.021505
això	no	pot	0.017921
això	no	està	0.017921
això	no	implica	0.014337
això	no	passarà	0.014337
això	no	cal	0.010753
això	no	ens	0.010753
això	no	serà	0.010753
això	no	passi	0.010753
això	no	sempre	0.010753
això	no	n	0.010753
això	només	es	0.263158
això	passa	per	0.160000
això	passa	perquè	0.120000
això	passi	la	0.375000
això	per	a	0.466667
això	podria	fer	0.250000
això	pogués	passar	1.000000
això	pot	ser	0.333333
això	pot	suposar	0.142857
això	que	el	0.074830
això	que	l	0.068027
això	que	la	0.054422
això	que	ens	0.040816
això	que	en	0.034014
això	que	s	0.034014
això	que	es	0.034014
això	que	ha	0.034014
això	que	a	0.034014
això	que	hem	0.034014
això	que	no	0.027211
això	que	al	0.020408
això	que	és	0.020408
això	que	les	0.020408
això	representa	un	0.428571
això	s	ha	0.523810
això	s	hi	0.111111
això	s	hauria	0.079365
això	s	aconsegueix	0.047619
això	s	han	0.047619
això	se	n	0.500000
això	serà	possible	0.187500
això	si	no	0.300000
això	significa	que	0.700000
això	sinó	que	0.625000
això	suposa	que	0.407407
això	suposa	un	0.296296
això	sí	que	0.138889
això	sí	el	0.074074
això	sí	ha	0.055556
això	sí	és	0.046296
això	sí	amb	0.037037
això	sí	des	0.037037
això	sí	els	0.037037
això	sí	en	0.037037
això	sí	una	0.037037
això	sí	a	0.027778
això	sí	com	0.027778
això	sí	un	0.027778
això	sí	es	0.027778
això	també	és	0.217391
això	també	s	0.108696
això	també	té	0.086957
això	també	es	0.065217
això	també	ha	0.065217
això	també	ho	0.065217
això	tampoc	ha	0.333333
això	té	un	0.562500
això	un	dels	0.333333
això	va	ser	0.153846
això	va	fer	0.107692
això	va	passar	0.061538
això	va	de	0.046154
això	vol	dir	0.967742
això	voldrà	dir	1.000000
això	vull	dir	0.600000
això	és	el	0.253333
això	és	una	0.103333
això	és	un	0.096667
això	és	molt	0.070000
això	és	important	0.040000
això	és	tan	0.023333
això	és	que	0.023333
això	és	així	0.016667
això	és	necessari	0.016667
això	és	com	0.013333
això	és	la	0.013333
això	és	culpa	0.010000
això	és	només	0.010000
això	és	perquè	0.010000
això	és	normal	0.010000
això	és	fals	0.010000
això	és	bo	0.010000
ajudar	a	fer	0.129412
ajudar	a	la	0.082353
ajudar	a	millorar	0.047059
ajudar	a	entendre	0.035294
ajudar	a	superar	0.035294
ajudar	la	gent	0.363636
ajudar	les	persones	0.285714
ajudar	les	famílies	0.214286
ajudar	los	a	0.300000
ajudar	molt	a	0.600000
ajudar	nos	a	0.833333
ajudar	te	a	0.750000
ala	més	dura	0.750000
alcalde	de	la	0.541667
alcalde	marc	castells	1.000000
alemany	i	el	0.250000
alemanya	i	frança	0.131579
alemanya	i	els	0.131579
alemanya	i	itàlia	0.078947
alemanya	i	el	0.078947
alemanya	i	la	0.078947
alemanya	per	exemple	0.428571
alemanya	és	el	0.428571
alguna	cosa	que	0.101266
alguna	cosa	a	0.056962
alguna	cosa	no	0.050633
alguna	cosa	per	0.050633
alguna	cosa	i	0.044304
alguna	cosa	de	0.044304
alguna	cosa	més	0.044304
alguna	cosa	en	0.031646
alguna	cosa	ha	0.031646
alguna	cosa	diferent	0.025316
alguna	cosa	es	0.018987
alguna	cosa	és	0.018987
alguna	cosa	serà	0.018987
alguna	cosa	s	0.018987
alguna	d	aquestes	0.777778
alguna	de	les	0.952381
alguna	manera	la	0.111111
alguna	manera	el	0.111111
alguna	mena	de	1.000000
algunes	coses	que	0.400000
algunes	d	aquestes	0.619048
algunes	d	elles	0.380952
algunes	de	les	0.965517
algunes	persones	se	0.250000
algú	a	qui	0.375000
algú	de	la	0.454545
algú	ha	de	0.500000
algú	que	no	0.092593
algú	que	ha	0.074074
algú	que	es	0.055556
algú	que	va	0.055556
algú	s	ha	0.300000
algú	se	n	0.571429
aliats	de	la	0.428571
aliments	i	medicaments	0.200000
aliments	i	les	0.150000
aliments	i	begudes	0.150000
allunya	de	la	0.666667
allunyar	se	del	0.400000
allunyar	se	dels	0.300000
allunyat	de	la	0.700000
allunyat	de	l	0.300000
allò	més	bé	0.500000
allò	que	no	0.115385
allò	que	ens	0.055556
allò	que	s	0.047009
allò	que	el	0.038462
allò	que	es	0.038462
allò	que	és	0.034188
allò	que	fa	0.029915
allò	que	els	0.025641
allò	que	va	0.021368
allò	que	li	0.021368
allò	que	ha	0.021368
allò	que	més	0.017094
allò	que	la	0.017094
allò	que	en	0.017094
allò	que	passa	0.012821
allò	que	un	0.012821
allò	que	hi	0.012821
allò	que	a	0.012821
allò	que	vol	0.012821
allò	és	un	0.600000
almenys	fins	al	0.500000
almenys	persones	han	0.500000
almenys	sis	persones	0.600000
almenys	un	any	0.230769
almenys	una	dosi	0.272727
als	afores	de	0.833333
als	afores	del	0.166667
als	agents	de	0.363636
als	alumnes	de	0.285714
als	alumnes	i	0.214286
als	amants	de	0.571429
als	amants	del	0.428571
als	anys	i	0.127119
als	anys	a	0.067797
als	anys	segons	0.059322
als	anys	en	0.050847
als	anys	que	0.042373
als	anys	va	0.033898
als	anys	l	0.033898
als	anys	d	0.033898
als	anys	la	0.025424
als	anys	no	0.025424
als	anys	per	0.025424
als	anys	de	0.025424
als	anys	el	0.025424
als	anys	quan	0.025424
als	anys	del	0.025424
als	baixos	de	0.750000
als	blanc	i	1.000000
als	camps	de	0.600000
als	canvis	en	0.416667
als	carrers	de	0.414634
als	carrers	d	0.097561
als	carrers	del	0.073171
als	cinc	anys	0.600000
als	ciutadans	i	0.250000
als	ciutadans	que	0.142857
als	ciutadans	russos	0.107143
als	clients	de	0.307692
als	comptes	de	0.555556
als	comptes	d	0.333333
als	de	la	0.392857
als	de	l	0.250000
als	dies	de	0.333333
als	diners	que	0.750000
als	dos	anys	0.333333
als	dotze	anys	0.750000
als	drets	humans	0.375000
als	efectes	de	0.750000
als	equips	d	0.428571
als	estats	units	0.949153
als	estudis	de	0.600000
als	eua	és	0.103448
als	eua	i	0.103448
als	familiars	de	0.750000
als	graus	amb	0.250000
als	graus	el	0.150000
als	grups	que	0.333333
als	habitants	de	0.750000
als	homes	que	0.300000
als	hospitals	de	0.200000
als	jardins	de	1.000000
als	jocs	de	0.296296
als	jocs	d	0.259259
als	jocs	del	0.148148
als	joves	que	0.296296
als	joves	d	0.148148
als	jutjats	de	0.214286
als	km	h	0.769231
als	llibres	de	0.363636
als	llocs	on	0.384615
als	llocs	de	0.307692
als	locals	i	0.500000
als	membres	de	0.500000
als	membres	del	0.357143
als	menors	de	0.714286
als	mesos	de	0.600000
als	meus	pares	0.263158
als	milers	de	1.000000
als	milions	d	0.603774
als	milions	de	0.132075
als	mitjans	de	0.333333
als	mitjans	que	0.070175
als	mitjans	i	0.052632
als	mitjans	des	0.052632
als	mitjans	a	0.052632
als	més	petits	0.585366
als	més	grans	0.195122
als	més	de	0.097561
als	més	joves	0.073171
als	nens	i	0.312500
als	nens	a	0.187500
als	nivells	de	0.428571
als	nivells	del	0.428571
als	nostres	dies	0.148148
als	nostres	fills	0.111111
als	nous	temps	0.444444
als	països	baixos	0.300000
als	països	de	0.175000
als	països	que	0.175000
als	països	veïns	0.150000
als	periodistes	que	0.444444
als	periodistes	i	0.333333
als	peus	de	0.388889
als	peus	d	0.166667
als	peus	del	0.166667
als	presos	polítics	0.666667
als	primers	anys	0.444444
als	problemes	que	0.500000
als	productes	de	0.428571
als	propers	anys	0.333333
als	propers	dies	0.250000
als	pròxims	anys	0.347826
als	pròxims	dies	0.260870
als	pròxims	mesos	0.130435
als	punts	de	0.384615
als	quals	s	0.163265
als	quals	no	0.081633
als	quals	es	0.081633
als	quals	el	0.061224
als	quals	els	0.061224
als	quals	se	0.061224
als	quarts	de	1.000000
als	quatre	mesos	0.300000
als	quatre	vents	0.300000
als	que	es	0.127660
als	que	s	0.085106
als	qui	van	0.142857
als	reis	d	0.625000
als	republicans	la	0.500000
als	serveis	de	0.500000
als	serveis	d	0.166667
als	serveis	socials	0.166667
als	seus	companys	0.096491
als	seus	pares	0.061404
als	seus	clients	0.052632
als	seus	treballadors	0.043860
als	seus	anys	0.043860
als	seus	fills	0.035088
als	seus	aliats	0.035088
als	seus	habitants	0.026316
als	seus	peus	0.026316
als	seus	veïns	0.026316
als	seus	socis	0.026316
als	seus	empleats	0.026316
als	sis	anys	0.555556
als	sistemes	de	1.000000
als	socis	de	0.333333
als	treballadors	de	0.190476
als	treballadors	i	0.142857
als	treballadors	per	0.142857
als	treballadors	que	0.142857
als	trens	de	1.000000
als	ulls	i	0.210526
als	ulls	de	0.157895
als	vehicles	de	0.250000
als	veïns	i	0.205882
als	veïns	de	0.176471
als	veïns	que	0.117647
als	veïns	per	0.088235
als	vint	i	0.375000
als	vint	anys	0.375000
als	voltants	de	0.611111
als	voltants	dels	0.166667
altres	a	l	0.400000
altres	activitats	com	0.428571
altres	aliments	com	0.500000
altres	amb	els	0.272727
altres	anys	i	0.400000
altres	ciutats	com	0.363636
altres	ciutats	de	0.272727
altres	com	el	0.187500
altres	com	la	0.187500
altres	com	l	0.187500
altres	coses	perquè	0.148148
altres	coses	per	0.111111
altres	de	les	0.187500
altres	dos	no	0.300000
altres	han	estat	0.666667
altres	maneres	de	0.500000
altres	membres	de	0.687500
altres	membres	del	0.187500
altres	mesures	que	0.300000
altres	mitjans	de	0.750000
altres	paraules	no	0.136364
altres	parts	del	0.800000
altres	països	com	0.142857
altres	països	de	0.107143
altres	països	que	0.089286
altres	països	i	0.089286
altres	països	en	0.071429
altres	països	per	0.071429
altres	països	d	0.053571
altres	persones	que	0.200000
altres	persones	i	0.120000
altres	poden	tenir	0.750000
altres	professionals	que	0.375000
altres	programes	d	0.750000
altres	projectes	de	0.333333
altres	punts	de	0.500000
altres	punts	del	0.214286
altres	que	no	0.191489
altres	que	es	0.085106
altres	que	s	0.063830
altres	que	ja	0.063830
altres	s	han	0.375000
altres	tipus	de	0.714286
alça	de	preus	0.555556
alça	dels	preus	0.750000
amagar	la	seva	0.400000
amants	de	la	0.500000
amants	de	l	0.357143
amants	del	vi	0.750000
amb	a	de	0.416667
amb	aigua	i	0.210526
amb	aigua	calenta	0.157895
amb	al	capdavant	0.666667
amb	alegria	i	0.750000
amb	algunes	de	1.000000
amb	alguns	dels	0.352941
amb	alguns	núvols	0.176471
amb	algú	que	0.333333
amb	allò	que	0.818182
amb	altres	persones	0.200000
amb	altres	estats	0.055556
amb	altres	paraules	0.055556
amb	altres	de	0.044444
amb	altres	forces	0.044444
amb	altres	països	0.033333
amb	alts	i	0.375000
amb	alts	càrrecs	0.375000
amb	amics	i	0.466667
amb	anys	i	0.120000
amb	anys	ja	0.080000
amb	anys	s	0.080000
amb	aquest	tipus	0.069444
amb	aquest	objectiu	0.069444
amb	aquest	nou	0.062500
amb	aquest	moviment	0.034722
amb	aquest	projecte	0.027778
amb	aquest	nom	0.027778
amb	aquest	tema	0.027778
amb	aquest	canvi	0.020833
amb	aquest	resultat	0.020833
amb	aquest	sistema	0.020833
amb	aquest	punt	0.020833
amb	aquesta	nova	0.060606
amb	aquesta	decisió	0.045455
amb	aquesta	mesura	0.045455
amb	aquesta	víctima	0.037879
amb	aquesta	iniciativa	0.030303
amb	aquesta	guerra	0.022727
amb	aquesta	situació	0.022727
amb	aquestes	paraules	0.171429
amb	aquestes	dades	0.142857
amb	aquests	diners	0.142857
amb	aquests	resultats	0.107143
amb	artistes	com	0.400000
amb	artistes	i	0.300000
amb	autorització	judicial	1.000000
amb	bon	peu	0.333333
amb	bons	ulls	0.863636
amb	cap	altra	0.307692
amb	capacitat	per	0.714286
amb	cara	i	0.555556
amb	cara	de	0.333333
amb	cares	noves	1.000000
amb	centenars	de	0.800000
amb	certes	ganes	0.800000
amb	com	a	0.500000
amb	compte	amb	0.250000
amb	compte	perquè	0.250000
amb	coneixement	de	1.000000
amb	cops	de	0.714286
amb	cura	i	0.444444
amb	càncer	de	0.777778
amb	cèl	lules	1.000000
amb	d	altres	0.833333
amb	dades	des	0.384615
amb	dades	del	0.153846
amb	dades	de	0.153846
amb	dades	dels	0.115385
amb	danys	materials	0.750000
amb	dificultats	per	0.363636
amb	dos	anys	0.085714
amb	dos	quilòmetres	0.085714
amb	dret	a	1.000000
amb	el	seu	0.093069
amb	el	govern	0.045050
amb	el	suport	0.043564
amb	el	que	0.037624
amb	el	qual	0.026733
amb	el	de	0.024257
amb	el	pas	0.024257
amb	el	mateix	0.022772
amb	el	president	0.021782
amb	el	temps	0.019802
amb	el	nom	0.014851
amb	el	nou	0.012871
amb	el	primer	0.011386
amb	el	grup	0.010396
amb	el	canvi	0.009901
amb	el	premi	0.009406
amb	el	meu	0.008416
amb	el	públic	0.007921
amb	el	sector	0.007921
amb	el	projecte	0.007426
amb	el	país	0.007426
amb	el	compromís	0.007426
amb	el	cap	0.007426
amb	el	món	0.007426
amb	el	medi	0.007426
amb	el	del	0.007426
amb	el	vot	0.007426
amb	el	procés	0.006931
amb	el	conseller	0.006931
amb	el	director	0.006931
amb	ell	a	0.062500
amb	ell	la	0.062500
amb	ell	en	0.062500
amb	ell	i	0.062500
amb	ella	i	0.212121
amb	ella	a	0.090909
amb	ells	i	0.138889
amb	ells	perquè	0.083333
amb	els	seus	0.133498
amb	els	quals	0.028430
amb	els	vots	0.028430
amb	els	amics	0.021014
amb	els	altres	0.018541
amb	els	anys	0.018541
amb	els	veïns	0.017305
amb	els	nostres	0.017305
amb	els	de	0.016069
amb	els	que	0.016069
amb	els	grups	0.014833
amb	els	dos	0.014833
amb	els	fons	0.014833
amb	els	agents	0.014833
amb	els	pares	0.013597
amb	els	preus	0.013597
amb	els	fills	0.012361
amb	els	estats	0.012361
amb	els	tres	0.011125
amb	els	meus	0.011125
amb	els	ulls	0.011125
amb	els	companys	0.009889
amb	els	jocs	0.009889
amb	els	valors	0.009889
amb	els	resultats	0.008653
amb	els	republicans	0.008653
amb	els	colors	0.008653
amb	els	més	0.007417
amb	els	familiars	0.007417
amb	els	mateixos	0.007417
amb	entrada	lliure	0.750000
amb	entre	i	0.800000
amb	especial	atenció	0.625000
amb	europa	i	0.428571
amb	experiència	en	0.500000
amb	fins	a	1.000000
amb	foc	real	0.500000
amb	forma	de	0.833333
amb	força	a	0.211538
amb	força	per	0.115385
amb	força	i	0.076923
amb	força	al	0.057692
amb	força	en	0.057692
amb	frança	i	0.375000
amb	ganes	de	0.652174
amb	gent	d	0.150000
amb	grams	de	1.000000
amb	graus	de	0.823529
amb	història	amb	0.428571
amb	història	d	0.428571
amb	i	el	0.166667
amb	intel	ligència	1.000000
amb	junts	i	0.200000
amb	junts	a	0.160000
amb	junts	l	0.120000
amb	l	objectiu	0.158599
amb	l	estat	0.060762
amb	l	ajuda	0.030896
amb	l	arribada	0.029866
amb	l	equip	0.021627
amb	l	actual	0.018538
amb	l	ajuntament	0.018538
amb	l	any	0.017508
amb	l	acord	0.017508
amb	l	ara	0.017508
amb	l	empresa	0.016478
amb	l	entorn	0.015448
amb	l	entrada	0.014418
amb	l	administració	0.013388
amb	l	única	0.012358
amb	l	actuació	0.012358
amb	l	organització	0.011329
amb	l	ajut	0.011329
amb	l	excepció	0.011329
amb	l	aigua	0.010299
amb	l	augment	0.010299
amb	l	argument	0.009269
amb	l	inici	0.009269
amb	l	anunci	0.009269
amb	l	ús	0.009269
amb	l	altra	0.008239
amb	l	edat	0.008239
amb	l	aplicació	0.008239
amb	l	esperança	0.008239
amb	l	activitat	0.007209
amb	la	seva	0.104707
amb	la	qual	0.029085
amb	la	col	0.024326
amb	la	resta	0.020624
amb	la	voluntat	0.019566
amb	la	mateixa	0.016393
amb	la	família	0.014807
amb	la	llei	0.013749
amb	la	presència	0.013221
amb	la	meva	0.012163
amb	la	intenció	0.011105
amb	la	gent	0.011105
amb	la	nova	0.010576
amb	la	vida	0.009519
amb	la	idea	0.008990
amb	la	que	0.008461
amb	la	natura	0.008461
amb	la	guerra	0.008461
amb	la	comunitat	0.008461
amb	la	realitat	0.008461
amb	la	màxima	0.007403
amb	la	feina	0.007403
amb	la	crisi	0.006875
amb	la	direcció	0.006875
amb	la	policia	0.006875
amb	la	sortida	0.006346
amb	la	decisió	0.006346
amb	la	de	0.006346
amb	la	possibilitat	0.006346
amb	la	primera	0.006346
amb	les	seves	0.114719
amb	les	dades	0.041126
amb	les	quals	0.038961
amb	les	mans	0.034632
amb	les	autoritats	0.028139
amb	les	mesures	0.025974
amb	les	persones	0.021645
amb	les	dues	0.019481
amb	les	famílies	0.017316
amb	les	grans	0.015152
amb	les	dones	0.015152
amb	les	víctimes	0.012987
amb	les	necessitats	0.012987
amb	les	primeres	0.012987
amb	les	noves	0.012987
amb	les	paraules	0.012987
amb	les	altres	0.012987
amb	les	mateixes	0.010823
amb	les	festes	0.010823
amb	les	tres	0.010823
amb	les	condicions	0.010823
amb	les	que	0.010823
amb	les	nostres	0.010823
amb	les	parts	0.008658
amb	les	investigacions	0.008658
amb	les	normes	0.008658
amb	les	declaracions	0.008658
amb	les	darreres	0.008658
amb	les	armes	0.008658
amb	les	empreses	0.008658
amb	llum	pròpia	0.600000
amb	llàgrimes	als	1.000000
amb	majoria	absoluta	1.000000
amb	mal	peu	1.000000
amb	matrícula	del	0.826087
amb	membres	de	0.600000
amb	membres	del	0.300000
amb	menys	de	0.170732
amb	menys	recursos	0.097561
amb	menys	ingressos	0.073171
amb	menys	marge	0.073171
amb	metres	de	0.750000
amb	mi	i	0.187500
amb	mi	mateixa	0.187500
amb	milers	de	0.600000
amb	milions	d	0.526316
amb	milions	de	0.315789
amb	molt	de	0.255319
amb	molt	d	0.234043
amb	molt	poc	0.106383
amb	molt	més	0.063830
amb	molta	gent	0.145833
amb	molta	força	0.125000
amb	molta	més	0.062500
amb	molta	cura	0.062500
amb	moltes	ganes	0.440000
amb	molts	dels	0.150000
amb	motiu	de	0.482143
amb	motiu	del	0.410714
amb	motiu	d	0.071429
amb	motor	de	1.000000
amb	més	de	0.310811
amb	més	risc	0.022523
amb	més	detall	0.018018
amb	més	casos	0.018018
amb	més	títols	0.018018
amb	més	o	0.018018
amb	més	d	0.018018
amb	més	núvols	0.018018
amb	més	gent	0.018018
amb	més	del	0.013514
amb	més	pes	0.013514
amb	més	tradició	0.013514
amb	més	bons	0.013514
amb	més	ganes	0.013514
amb	més	capacitat	0.013514
amb	més	dificultats	0.013514
