abas	puses	ir	0.300000
abi	ar	vīru	0.800000
acis	un	ausis	0.333333
aiziet	no	darba	0.461538
ak	dievs	cik	0.600000
ano	drošības	padomes	0.750000
aptuveni	par	procentiem	0.428571
aptuveni	trīs	miljoni	0.428571
asv	akciju	tirgus	0.666667
asv	dolāru	par	0.357143
asv	dolāru	miljoni	0.142857
asv	dolāru	miljoniem	0.107143
asv	dolārus	par	1.000000
asv	federālo	rezervju	1.000000
asv	prezidenta	vēlēšanās	0.363636
asv	prezidenta	amatā	0.272727
asv	un	es	0.214286
atbalstu	no	valsts	0.800000
atbildēt	uz	jautājumu	0.434783
atbildēt	uz	visiem	0.130435
atgādina	ka	arī	0.105263
atgādina	ka	no	0.078947
atpūtas	un	sporta	0.800000
attiecības	ar	dievu	0.103448
atšķirība	ir	tā	0.400000
atšķirība	tikai	tā	0.750000
augu	aizsardzības	līdzekļu	0.300000
augu	aizsardzības	līdzekļus	0.300000
avīzes	rakstīja	pirms	1.000000
bet	ar	to	0.240000
bet	ar	laiku	0.100000
bet	arī	par	0.055096
bet	arī	ar	0.052342
bet	arī	no	0.038567
bet	arī	citiem	0.024793
bet	arī	tas	0.016529
bet	arī	uz	0.016529
bet	arī	paši	0.013774
bet	arī	to	0.013774
bet	arī	citu	0.013774
bet	arī	tie	0.011019
bet	arī	citas	0.011019
bet	arī	mūsu	0.011019
bet	arī	pie	0.011019
bet	arī	tur	0.008264
bet	arī	savu	0.008264
bet	arī	tad	0.008264
bet	arī	tā	0.008264
bet	arī	starp	0.008264
bet	arī	piedalīties	0.008264
bet	arī	pašiem	0.008264
bet	arī	uzzināt	0.008264
bet	arī	ļoti	0.008264
bet	arī	viss	0.008264
bet	arī	eiropas	0.008264
bet	arī	kaut	0.008264
bet	arī	visas	0.008264
bet	arī	citi	0.008264
bet	atgriežas	darbā	1.000000
bet	bieži	vien	0.666667
bet	cilvēki	ir	0.250000
bet	daļa	no	0.600000
bet	diemžēl	tas	0.200000
bet	diez	vai	1.000000
bet	domāju	ka	0.800000
bet	droši	vien	0.714286
bet	drīz	vien	0.428571
bet	es	to	0.075472
bet	es	domāju	0.056604
bet	es	esmu	0.047170
bet	es	taču	0.028302
bet	es	biju	0.028302
bet	es	nedomāju	0.028302
bet	es	neesmu	0.028302
bet	es	uzskatu	0.028302
bet	galvenais	ir	0.272727
bet	gan	par	0.118280
bet	gan	kā	0.053763
bet	gan	tāpēc	0.043011
bet	gan	ar	0.032258
bet	gan	uz	0.026882
bet	gan	tikai	0.026882
bet	gan	to	0.021505
bet	gan	ir	0.016129
bet	gan	tas	0.016129
bet	gan	daudz	0.016129
bet	gan	tādēļ	0.016129
bet	gan	jau	0.016129
bet	ir	arī	0.174419
bet	ir	jau	0.069767
bet	ir	tādi	0.046512
bet	ir	jābūt	0.034884
bet	ir	ļoti	0.034884
bet	ja	ir	0.038961
bet	ja	cilvēks	0.032468
bet	ja	nopietni	0.032468
bet	ja	man	0.025974
bet	ja	tas	0.025974
bet	ja	jau	0.019481
bet	ja	kaut	0.019481
bet	ja	runājam	0.019481
bet	ja	tā	0.019481
bet	ja	tev	0.019481
bet	jau	pēc	0.151515
bet	jāsaprot	ka	0.750000
bet	kad	tas	0.055556
bet	kas	tad	0.117647
bet	kaut	kā	0.173913
bet	kaut	kad	0.173913
bet	kaut	kas	0.173913
bet	ko	darīt	0.225806
bet	ko	lai	0.129032
bet	ko	tad	0.096774
bet	kopā	ar	0.571429
bet	kopš	gada	0.333333
bet	kā	ar	0.107143
bet	kā	jau	0.089286
bet	kā	būs	0.053571
bet	kā	lai	0.053571
bet	kā	tad	0.053571
bet	kā	tas	0.053571
bet	kāpēc	jums	0.125000
bet	labi	ka	0.428571
bet	lai	to	0.111111
bet	laikam	jau	0.428571
bet	liekas	ka	1.000000
bet	līdz	ar	0.357143
bet	līdz	tam	0.285714
bet	man	ir	0.187500
bet	man	nav	0.093750
bet	man	tas	0.078125
bet	man	jau	0.062500
bet	man	liekas	0.046875
bet	man	nebija	0.046875
bet	mums	ir	0.218750
bet	mums	jau	0.093750
bet	mēs	esam	0.072727
bet	mēs	jau	0.054545
bet	mēs	nezinām	0.054545
bet	naudas	nav	0.500000
bet	nav	jau	0.172414
bet	nav	tik	0.103448
bet	ne	jau	0.195402
bet	ne	par	0.045977
bet	ne	ilgāk	0.045977
bet	ne	visiem	0.034483
bet	ne	vienmēr	0.034483
bet	nedomāju	ka	1.000000
bet	neko	vairāk	0.666667
bet	no	otras	0.222222
bet	no	rīta	0.074074
bet	no	tā	0.055556
bet	no	gada	0.055556
bet	nu	jau	0.158730
bet	nākamajā	dienā	0.800000
bet	otra	puse	0.250000
bet	par	to	0.302326
bet	par	cik	0.069767
bet	par	tām	0.034884
bet	patiesība	ir	1.000000
bet	pavisam	cita	0.272727
bet	pie	mums	0.416667
bet	pirms	tam	0.307692
bet	pārējā	laikā	0.600000
bet	pēc	tam	0.686047
bet	pēc	kāda	0.034884
bet	runājot	par	1.000000
bet	tad	kad	0.157143
bet	tad	jau	0.085714
bet	tad	ir	0.042857
bet	tad	tā	0.042857
bet	tagad	ir	0.105769
bet	tagad	jau	0.067308
bet	tagad	kad	0.057692
bet	tagad	to	0.028846
bet	tagad	es	0.028846
bet	tagad	par	0.028846
bet	tai	pašā	0.444444
bet	tajā	pašā	0.714286
bet	tam	nav	0.200000
bet	tas	ir	0.172589
bet	tas	nav	0.106599
bet	tas	jau	0.076142
bet	tas	nenozīmē	0.050761
bet	tas	ka	0.045685
bet	tas	bija	0.025381
bet	tas	ne	0.025381
bet	tas	nozīmē	0.025381
bet	tas	būs	0.020305
bet	tas	taču	0.015228
bet	tas	esot	0.015228
bet	tas	tomēr	0.015228
bet	tas	vēl	0.015228
bet	te	ir	0.115385
bet	tie	ir	0.190476
bet	tie	kas	0.166667
bet	tie	kuri	0.095238
bet	tiem	kas	0.300000
bet	tiem	kuri	0.300000
bet	tieši	tāpēc	0.166667
bet	tik	un	0.400000
bet	tikai	par	0.156250
bet	tikai	ne	0.093750
bet	tikpat	labi	0.571429
bet	to	ka	0.080645
bet	to	jau	0.048387
bet	tur	jau	0.096774
bet	tur	nav	0.096774
bet	tā	kā	0.205357
bet	tā	ir	0.187500
bet	tā	nav	0.062500
bet	tā	jau	0.062500
bet	tā	arī	0.044643
bet	tā	vietā	0.044643
bet	tāda	ir	0.666667
bet	tāpēc	ka	0.800000
bet	tās	ir	0.285714
bet	tās	jau	0.107143
bet	tās	nav	0.107143
bet	uz	eiropas	0.111111
bet	uz	to	0.111111
bet	vai	tad	0.205479
bet	vai	tas	0.068493
bet	vai	tu	0.054795
bet	vai	tāpēc	0.041096
bet	vairs	nav	1.000000
bet	var	arī	0.357143
bet	varbūt	ka	0.116279
bet	varbūt	arī	0.069767
bet	viena	no	0.500000
bet	vienmēr	jau	0.750000
bet	viens	no	0.444444
bet	visu	laiku	0.333333
bet	viņa	ir	0.107143
bet	viņi	to	0.120000
bet	viņš	jau	0.111111
bet	viņš	ne	0.111111
bet	vēl	nav	0.114286
bet	vēl	pieci	0.085714
bet	zinu	ka	1.000000
bet	ņemot	vērā	1.000000
bet	šajā	gadījumā	0.666667
bet	šogad	jau	0.187500
bet	šā	gada	0.833333
bija	aizdomas	ka	0.750000
bija	ar	mieru	0.416667
bija	arī	tādi	0.070423
bija	arī	citi	0.042254
bija	arī	viņa	0.042254
bija	diezgan	liela	0.375000
bija	ieradies	arī	0.428571
bija	ieradusies	arī	0.666667
bija	iespēja	piedalīties	0.096154
bija	iespēja	parādīt	0.057692
bija	iespēja	ne	0.057692
bija	iespēja	tikties	0.057692
bija	iespējams	tikai	0.214286
bija	it	kā	1.000000
bija	jau	pirms	0.125000
bija	jāatbild	nevis	0.750000
bija	jādodas	uz	1.000000
bija	kaut	kas	0.500000
bija	kaut	kur	0.250000
bija	kopā	ar	0.666667
bija	laiks	kad	0.611111
bija	līdz	šim	0.636364
bija	mans	pirmais	0.428571
bija	ne	tikai	0.800000
bija	nepieciešams	lai	0.300000
bija	noteikts	ka	1.000000
bija	par	to	0.187500
bija	par	maz	0.187500
bija	par	daudz	0.093750
bija	paredzēts	ka	0.375000
bija	pieaudzis	par	0.750000
bija	pirms	gadiem	0.666667
bija	pirmās	sacensības	0.500000
bija	problēmas	ar	0.857143
bija	pēdējā	reize	0.500000
bija	runa	par	1.000000
bija	saistīta	ar	1.000000
bija	saistīti	ar	0.833333
bija	saistīts	ar	0.750000
bija	sajūta	ka	1.000000
bija	saruna	ar	1.000000
bija	skaidrs	ka	0.545455
bija	tas	ka	0.476190
bija	tas	kas	0.142857
bija	tas	kurš	0.142857
bija	tie	kas	0.500000
bija	tik	daudz	0.185185
bija	tikai	par	0.068182
bija	tikai	viena	0.068182
bija	tā	ka	0.333333
bija	tāda	ka	0.384615
bija	tāda	pati	0.230769
bija	tāds	ka	0.230769
bija	tāpēc	ka	1.000000
bija	un	ir	0.208333
bija	un	būs	0.125000
bija	un	palika	0.125000
bija	vairāk	nekā	0.533333
bija	vairāk	kā	0.200000
bija	viena	no	0.733333
bija	viens	no	0.782609
bija	vēl	viena	0.214286
bija	četri	gadi	0.666667
bija	ļoti	daudz	0.062500
bija	ļoti	labi	0.050000
bija	ļoti	labs	0.050000
bija	ļoti	maz	0.050000
bija	ļoti	svarīgs	0.037500
bija	ļoti	sliktā	0.037500
bija	ļoti	grūti	0.037500
braukt	ar	autobusu	0.428571
braukt	uz	angliju	0.230769
brīdī	kad	viņš	0.065217
bērni	dodas	uz	1.000000
bērni	iet	skolā	0.500000
bērni	ir	mūsu	0.150000
bērni	kopā	ar	1.000000
bērni	kuru	vecāki	0.750000
bērni	mācās	no	0.600000
bērni	un	jaunieši	0.250000
bērni	un	arī	0.093750
bērni	un	viņu	0.093750
bērni	vecumā	no	1.000000
bērnu	mākslas	skola	0.428571
bērnu	mākslas	skolas	0.428571
bērnu	tiesību	aizsardzības	1.000000
bērnu	un	ģimenes	0.448276
bērnu	vecākiem	un	0.428571
cena	ir	no	0.166667
cenas	bet	arī	0.666667
cer	ka	šo	0.080000
ceru	ka	tas	0.058824
ceru	ka	mēs	0.047059
ceru	ka	nākamajā	0.047059
ceru	ka	viņu	0.035294
ceru	ka	arī	0.035294
ceļu	policijas	darbinieki	0.270270
ceļu	policijas	priekšnieks	0.216216
ceļu	policijas	nodaļas	0.189189
ceļu	policijas	nodaļā	0.108108
ceļu	policijas	darbinieks	0.081081
ceļu	satiksmes	drošības	0.377049
ceļu	satiksmes	negadījums	0.229508
ceļu	satiksmes	noteikumu	0.114754
ceļu	satiksmes	noteikumus	0.098361
ceļu	satiksmes	noteikumi	0.065574
ceļu	satiksmes	noteikumiem	0.065574
cik	cilvēku	tik	0.375000
cik	daudz	naudas	0.173913
cik	daudz	laika	0.072464
cik	daudz	ir	0.057971
cik	daudz	cilvēku	0.043478
cik	es	zinu	0.357143
cik	es	atceros	0.214286
cik	ilgi	vēl	0.130435
cik	ilgu	laiku	1.000000
cik	ir	tādu	0.200000
cik	ir	un	0.150000
cik	liela	ir	0.312500
cik	liela	loma	0.187500
cik	lielā	mērā	1.000000
cik	man	zināms	0.333333
cik	mēs	esam	0.500000
cik	nu	ir	0.166667
cik	saprotu	tad	0.300000
cik	svarīgi	ir	0.833333
cik	tad	var	0.120000
cik	tas	ir	0.312500
cik	tas	viss	0.093750
cik	tie	ir	1.000000
cik	tā	ir	0.454545
cik	viegli	ir	0.600000
cik	vien	iespējams	0.333333
cik	vien	var	0.142857
cik	zinu	tad	0.214286
cik	ātri	un	0.333333
cilvēks	kurš	ir	0.137931
cilvēks	uzmanības	centrā	1.000000
citas	eiropas	valstis	1.000000
cukura	līmeni	asinīs	1.000000
dara	kaut	ko	1.000000
dara	savu	darbu	0.833333
dara	visu	lai	0.571429
darbojas	jau	divus	0.375000
darbojas	vairāk	nekā	1.000000
darboties	kopā	ar	1.000000
darbā	bet	arī	0.750000
dati	liecina	ka	0.965517
dati	rāda	ka	0.812500
daudziem	cilvēkiem	ir	0.214286
daudzus	gadus	un	0.150000
daļa	no	viņiem	0.171053
daļa	no	tiem	0.144737
daļa	no	mūsu	0.052632
daļa	no	mums	0.052632
daļa	no	šiem	0.052632
daļa	no	tā	0.039474
daļa	uzskata	ka	0.750000
daļai	no	viņiem	0.750000
daļu	no	tā	0.160000
der	atcerēties	ka	1.000000
desmit	dienu	laikā	1.000000
desmit	gadu	laikā	0.629630
desmit	gadu	garumā	0.111111
desmit	minūtes	pēc	0.500000
devās	prom	no	0.750000
diena	ir	kļuvusi	0.300000
diez	vai	ir	0.058140
diez	vai	tas	0.046512
diez	vai	to	0.034884
diez	vai	kāds	0.034884
diez	vai	var	0.034884
diez	vai	būs	0.034884
divreiz	vairāk	nekā	0.600000
divus	gadus	vecais	0.096774
divus	gadus	vecs	0.096774
divus	gadus	pēc	0.096774
divus	gadus	veco	0.096774
divus	līdz	trīs	1.000000
divus	trīs	gadus	0.666667
domās	ir	arī	0.600000
drošība	pirmajā	vietā	1.000000
durvis	ir	vaļā	0.750000
dziesmu	un	deju	0.928571
dzimšanas	dienas	svinības	0.384615
eiropas	komisijas	līmenī	0.230769
eiropas	lietu	komisijas	1.000000
eiropas	un	pasaules	0.583333
esat	ieguvis	dzīvei	1.000000
fakts	ka	par	0.075000
fakts	ka	mūsu	0.075000
federālo	rezervju	sistēmas	0.700000
finanšu	nodaļas	vadītāja	0.750000
finanšu	nodokļu	komisijas	1.000000
finanšu	un	līgumu	0.444444
g	novembris	apskati	0.750000
gada	beigām	tiks	0.096774
gada	beigās	vai	0.100000
gada	beigās	varētu	0.100000
gada	decembrī	kad	0.210526
gada	laikā	ir	0.241379
gada	marta	beigām	0.230769
gada	otrajā	pusē	1.000000
gada	pirmajā	pusē	0.764706
gada	sporta	skolotājs	1.000000
gada	sākuma	ir	0.160000
gada	sākuma	zelta	0.120000
gada	uz	gadu	1.000000
gadus	nodarbojas	ar	1.000000
gadus	pēc	kārtas	0.733333
gadus	uz	priekšu	0.857143
gadus	veca	sieviete	0.434783
gadus	veca	meitene	0.260870
gadus	vecais	vīrietis	0.266667
gadus	vecais	aktieris	0.200000
gadus	vecs	vīrietis	0.511628
gadus	vecs	puisis	0.139535
gadus	vecs	bērns	0.116279
gadus	vecu	vīrieti	0.368421
gadus	vecu	bērnu	0.210526
gaida	vērtīga	balva	1.000000
gaidu	kad	būs	0.750000
galu	galā	arī	0.080460
galu	galā	ir	0.057471
galu	galā	tā	0.045977
galu	galā	mēs	0.034483
galu	galā	nav	0.034483
galu	galā	var	0.034483
galu	galā	ne	0.034483
galvenā	problēma	ir	0.428571
gandrīz	katru	dienu	0.888889
gandrīz	par	procentiem	0.250000
gandrīz	puse	no	0.555556
glābšanas	darbi	bet	0.428571
glābšanas	dienesta	darbinieki	0.529412
glābšanas	dienesta	darbiniekiem	0.176471
godīgi	sakot	man	0.230769
godīgi	sakot	nekad	0.230769
grib	kaut	ko	0.800000
grib	un	var	0.500000
gribam	vai	negribam	1.000000
ha	ha	ha	0.800000
iedzīvotāji	un	viesi	0.428571
ielas	galā	pie	0.750000
ielas	nama	pagalmā	0.375000
ielu	un	ceļu	0.333333
iepazīties	ar	dažādām	0.088235
iepazīties	arī	ar	0.600000
iepriekš	sacīja	ka	1.000000
iepriekš	tā	bija	0.750000
iepriekšējo	gadu	pieredze	0.157895
ieradušies	vairāk	nekā	1.000000
iespēja	ar	to	0.500000
iespēja	iepazīties	ar	1.000000
iespēja	kļūt	par	1.000000
iespēja	ne	tikai	0.875000
iespēja	piedalīties	dažādos	0.500000
iespēja	sekot	līdzi	0.600000
iespēja	tikties	ar	0.833333
ietekmē	ne	tikai	1.000000
ietekmē	tavu	dzīvi	1.000000
ievainots	viens	cilvēks	1.000000
ilgi	un	laimīgi	0.300000
informācijas	biroja	vadītāja	0.800000
informācijas	centra	tic	0.300000
informācijas	centra	vadītāja	0.300000
informācijas	par	to	0.500000
informācijas	tehnoloģiju	drošības	0.272727
izmantot	bez	maksas	1.000000
izmantot	savā	labā	0.800000
izmeklēšanu	lai	noskaidrotu	1.000000
izredzes	kļūt	peļņu	0.750000
jauni	cilvēki	kuri	0.250000
jautājumi	kas	saistīti	0.461538
jautājums	cik	no	0.333333
jautājums	ir	par	0.325581
jautājums	ir	vai	0.093023
jautājums	par	to	0.222222
jautājums	tikai	cik	0.500000
jautājumu	par	to	0.233333
jautājumus	kas	saistīti	0.428571
jebkurā	brīdī	var	0.250000
jebkurā	gadījumā	ir	0.107143
jebkurā	gadījumā	par	0.107143
joprojām	ir	daudz	0.098592
joprojām	ir	ļoti	0.070423
joprojām	ir	viena	0.042254
joprojām	nav	skaidrs	0.136364
joprojām	uzskatu	ka	1.000000
jā	daru	to	1.000000
jā	es	esmu	0.166667
jā	tas	ir	0.375000
jā	tā	ir	0.555556
jāatbild	par	savu	0.428571
jāatbild	uz	jautājumu	0.454545
jādodas	uz	kādu	0.333333
jāņem	gan	vērā	1.000000
jāņem	vērā	ka	0.628866
jāņem	vērā	arī	0.082474
