z	z	z	0.750000
али	ако	се	0.250000
али	било	је	0.750000
али	био	је	1.000000
али	га	је	0.595238
али	га	није	0.142857
али	да	ће	0.159091
али	да	се	0.136364
али	да	је	0.113636
али	да	то	0.090909
али	да	би	0.068182
али	да	су	0.068182
али	и	да	0.127451
али	и	на	0.088235
али	и	даље	0.068627
али	и	са	0.068627
али	и	због	0.058824
али	и	за	0.049020
али	и	као	0.039216
али	и	из	0.039216
али	и	од	0.029412
али	и	не	0.029412
али	изгледа	да	1.000000
али	им	је	0.615385
али	им	се	0.230769
али	има	и	0.800000
али	исто	тако	0.833333
али	их	је	0.615385
али	када	је	0.500000
али	када	се	0.200000
али	како	је	0.250000
али	како	су	0.250000
али	како	се	0.250000
али	као	и	0.428571
али	могу	да	0.500000
али	може	бити	0.727273
али	му	је	0.545455
али	му	се	0.136364
али	не	и	0.530612
али	не	у	0.091837
али	не	као	0.030612
али	не	пре	0.030612
али	не	увек	0.030612
али	никада	није	0.750000
али	нико	није	0.800000
али	нису	били	0.416667
али	нису	ни	0.250000
али	није	имао	0.209302
али	није	било	0.116279
али	није	могао	0.116279
али	није	била	0.093023
али	није	у	0.069767
али	није	био	0.069767
али	овог	пута	1.000000
али	он	је	0.428571
али	он	то	0.142857
али	она	није	0.200000
али	она	се	0.200000
али	они	нису	0.333333
али	они	су	0.333333
али	оно	што	0.571429
али	пре	него	1.000000
али	сада	је	0.375000
али	само	са	0.200000
али	се	не	0.112782
али	се	може	0.067669
али	се	и	0.067669
али	се	у	0.067669
али	се	на	0.067669
али	се	од	0.052632
али	се	касније	0.045113
али	се	такође	0.030075
али	се	зна	0.030075
али	се	сви	0.022556
али	се	могу	0.022556
али	се	то	0.022556
али	се	он	0.022556
али	се	због	0.022556
али	су	се	0.205128
али	су	га	0.111111
али	су	у	0.085470
али	су	их	0.076923
али	су	били	0.059829
али	су	и	0.059829
али	су	сви	0.025641
али	су	им	0.025641
али	су	зато	0.025641
али	су	они	0.025641
али	су	на	0.025641
али	су	такође	0.025641
али	такође	и	0.625000
али	то	је	0.259259
али	то	није	0.259259
али	то	се	0.129630
али	то	не	0.074074
али	то	су	0.055556
али	у	ствари	0.333333
али	је	у	0.093284
али	је	и	0.078358
али	је	био	0.052239
али	је	он	0.048507
али	је	због	0.044776
али	је	на	0.037313
али	је	касније	0.029851
али	је	било	0.029851
али	је	била	0.026119
али	је	она	0.026119
али	је	такође	0.026119
али	је	зато	0.022388
али	је	од	0.018657
али	је	поново	0.018657
али	је	тај	0.018657
али	је	до	0.014925
али	је	већ	0.014925
али	је	његов	0.014925
али	је	за	0.014925
али	је	само	0.014925
али	је	након	0.014925
али	је	после	0.014925
али	је	све	0.011194
али	је	имао	0.011194
али	је	то	0.011194
али	је	још	0.011194
али	је	тешко	0.011194
али	је	овај	0.011194
али	једног	дана	1.000000
али	још	увек	0.571429
али	јој	је	0.600000
али	ће	се	0.750000
би	би	си	1.000000
би	био	да	0.230769
би	га	касније	0.300000
би	да	се	0.263158
би	да	буде	0.210526
би	их	могли	0.500000
би	могао	да	0.659091
би	могао	бити	0.204545
би	могла	да	0.736842
би	могла	бити	0.210526
би	могли	да	0.650000
би	могли	бити	0.200000
би	он	могао	0.428571
би	се	на	0.093960
би	се	у	0.073826
би	се	могла	0.073826
би	се	могао	0.053691
би	се	касније	0.046980
би	се	што	0.040268
би	се	то	0.033557
би	се	са	0.033557
би	се	од	0.026846
би	се	овај	0.026846
би	се	поново	0.020134
би	се	тај	0.020134
би	се	могли	0.020134
