of	usa	వ	1.000000
అ	జల	ద	0.750000
అ	జల	న	0.250000
అ	తమ	ద	0.733333
అ	ద	స	0.555556
అ	ద	వలన	0.324444
అ	ద	న	0.068889
అ	ద	వ	0.020000
అ	ద	ద	0.017778
అ	ద	య	0.006667
ఆయన	అ	ద	1.000000
ఆయన	ఈ	స	0.444444
ఆయన	తన	న	0.333333
ఆయన	ద	న	0.714286
ఆయన	న	వ	0.230769
ఆయన	న	స	0.192308
ఆయన	న	య	0.192308
ఆయన	న	న	0.153846
ఆయన	వ	స	0.368421
ఆయన	వ	ద	0.368421
ఆయన	స	న	0.558824
ఆయన	స	హ	0.117647
ఆయన	స	వ	0.117647
ఆశ	ద	ద	1.000000
ఆశ	వ	స	0.500000
ఆశ	స	స	1.000000
ఇతర	ద	వ	0.916667
ఇతర	వ	ద	0.478261
ఇతర	వ	య	0.217391
ఇతర	వ	వ	0.173913
ఇతర	వ	న	0.130435
ఇతర	స	స	0.454545
ఇతర	స	వ	0.181818
ఇతర	స	న	0.181818
ఇతర	స	హ	0.136364
ఈ	ఆలయ	న	0.761194
ఈ	ఆలయ	వ	0.111940
ఈ	ఆలయ	స	0.044776
ఈ	ఆలయ	ద	0.044776
ఈ	ఏ	ఏ	1.000000
ఈ	కథ	ఒక	0.428571
ఈ	ద	వ	0.892857
ఈ	ద	న	0.086735
ఈ	న	య	0.442623
ఈ	న	న	0.213115
ఈ	న	తన	0.114754
ఈ	న	వ	0.098361
ఈ	న	ద	0.049180
ఈ	పద	న	0.550000
ఈ	పద	య	0.350000
ఈ	య	ద	0.808511
ఈ	య	న	0.127660
ఈ	వ	య	0.540541
ఈ	వ	ద	0.248649
ఈ	వ	వ	0.124324
ఈ	వ	న	0.048649
ఈ	వ	స	0.021622
ఈ	స	న	0.621578
ఈ	స	స	0.194847
ఈ	స	ద	0.070853
ఈ	స	వ	0.048309
ఈ	స	గత	0.024155
ఈ	స	య	0.014493
ఈ	స	హ	0.009662
ఈ	స	వలన	0.008052
ఈ	హ	ద	0.500000
ఈ	హ	స	0.375000
ఎ	తమ	ద	1.000000
ఎ	న	య	0.800000
ఏ	జల	స	0.916667
ఏ	వ	య	0.600000
ఏ	స	న	0.600000
ఏట	య	వ	0.900000
ఒక	ఆలయ	న	1.000000
ఒక	కథ	స	1.000000
ఒక	ద	వ	0.604651
ఒక	ద	న	0.372093
ఒక	న	తన	0.303030
ఒక	న	య	0.242424
ఒక	న	వ	0.242424
ఒక	న	ద	0.121212
ఒక	పద	య	0.666667
ఒక	పద	న	0.250000
ఒక	బస	స	1.000000
ఒక	య	న	0.642857
ఒక	య	ద	0.214286
ఒక	వ	ద	0.468085
ఒక	వ	య	0.255319
ఒక	వ	స	0.117021
ఒక	వ	న	0.074468
ఒక	వ	వ	0.063830
ఒక	స	న	0.392857
ఒక	స	స	0.345238
ఒక	స	ద	0.130952
ఒక	స	హ	0.035714
ఒక	హ	ద	0.500000
ఒక	హ	స	0.375000
జల	అ	ద	1.000000
జల	ద	వ	0.909091
జల	న	న	0.545455
జల	వ	ద	0.600000
తన	ఆలయ	న	0.800000
తన	కల	స	0.666667
తన	గత	న	1.000000
తన	ద	వ	0.600000
తన	ద	స	0.171429
తన	ద	న	0.114286
తన	న	న	0.432836
తన	న	వ	0.373134
తన	న	య	0.119403
తన	మత	న	0.750000
తన	య	న	0.500000
తన	య	ద	0.095238
తన	య	స	0.095238
తన	య	కల	0.095238
తన	య	హ	0.071429
తన	వ	య	0.378947
తన	వ	ద	0.263158
తన	వ	ఏట	0.168421
తన	వ	వ	0.063158
తన	వ	స	0.052632
తన	వ	న	0.052632
తన	స	న	0.421429
తన	స	వ	0.271429
తన	స	స	0.092857
తన	స	వలన	0.092857
తన	స	ద	0.071429
తన	స	హ	0.035714
తన	సహ	ద	0.714286
తన	హ	దయ	0.454545
తన	హ	ద	0.363636
తమ	తమ	స	0.375000
తమ	తమ	ద	0.375000
తమ	ద	వ	0.352941
తమ	ద	న	0.254902
తమ	ద	స	0.156863
తమ	న	స	0.230216
తమ	న	వ	0.197842
తమ	న	న	0.143885
తమ	న	ద	0.089928
తమ	న	య	0.068345
తమ	న	ఈ	0.053957
తమ	న	హ	0.046763
తమ	న	పద	0.025180
తమ	న	అ	0.017986
తమ	న	ఒక	0.017986
తమ	న	కళ	0.014388
తమ	న	తమ	0.010791
తమ	న	కథ	0.010791
తమ	న	ఔషధ	0.010791
తమ	వ	ద	0.548387
తమ	వ	య	0.193548
తమ	వ	న	0.129032
తమ	వ	వ	0.096774
తమ	స	న	0.404255
తమ	స	వ	0.297872
తమ	స	స	0.191489
తమ	సహ	య	0.833333
దయ	న	న	0.600000
దయ	న	ద	0.250000
దయ	య	య	0.733333
దయ	య	ద	0.100000
దయ	వ	ద	0.833333
దయ	స	స	0.571429
ధర	వ	న	0.466667
ధర	వ	వ	0.266667
మన	ద	వ	0.363636
మన	న	న	0.344828
మన	న	వ	0.206897
మన	న	ద	0.137931
మన	పద	య	0.666667
మన	య	న	0.666667
మన	య	ద	0.185185
మన	వ	వ	0.333333
మన	వ	ద	0.185185
మన	వ	న	0.148148
మన	వ	స	0.148148
మన	వ	య	0.111111
మన	స	న	0.354839
మన	స	స	0.258065
మన	స	వ	0.129032
మల	అ	ద	1.000000
మల	ద	వ	0.833333
మల	న	న	0.333333
మల	న	వ	0.190476
మల	లయ	య	0.777778
మల	స	య	0.545455
సహ	ద	య	0.750000
సహ	య	న	0.414634
సహ	య	అ	0.280488
సహ	య	ద	0.134146
సహ	య	స	0.121951
సహ	వ	ద	0.500000
సహ	స	న	0.500000
